id;name;site;rating;advcampaign_id;advcampaign_name;logo;description;species;promocode;promolink;gotolink;date_start;date_end;exclusive;types;categories;special_category;discount
359389;Carnaval 2021. Mais de 50% off em todas as categorias;https://www.banggood.com/;0.00;13623;Banggood WW;https://cdn.admitad.com/campaign/images/2020/9/30/13623-b58edd098a89c836.png;;action;Not required;;https://ad.admitad.com/g/cd380xppl2053e55c51d6213826a88/?i=3;2021-02-12 00:00:00;2021-02-21 23:59:00;false;Discount on an order;Health & Beauty, Clothing, Homeware, Computers & Electronics, Watches & Jewelry;;50%
359391;46% off para Xiaomi Redmi Note 8 Pro Global Version;https://www.banggood.com/;0.00;13623;Banggood WW;https://cdn.admitad.com/campaign/images/2020/9/30/13623-b58edd098a89c836.png;;promocode;BG002N8P;;https://ad.admitad.com/g/5tuyv7m96s053e55c51d6213826a88/?i=3;2021-02-12 00:00:00;2021-02-21 23:59:00;false;Discount on an order;Computers & Electronics;;46%
359393;29% off para ILIFE V5S Pro Multifuncional Robô Inteligente Vassoura;https://www.banggood.com/;0.00;13623;Banggood WW;https://cdn.admitad.com/campaign/images/2020/9/30/13623-b58edd098a89c836.png;;promocode;BGCNHGTVF5;;https://ad.admitad.com/g/2srib7m7qe053e55c51d6213826a88/?i=3;2021-02-12 00:00:00;2021-02-21 23:59:00;false;Discount on an order;Computers & Electronics;;29%
359395;Frete Grátis acima de $44.99;https://www.banggood.com/;0.00;13623;Banggood WW;https://cdn.admitad.com/campaign/images/2020/9/30/13623-b58edd098a89c836.png;;action;Not required;;https://ad.admitad.com/g/t0rumr0tuz053e55c51d6213826a88/?i=3;2021-02-12 00:00:00;2021-02-21 23:59:00;false;Free shipping;Health & Beauty, Clothing, Homeware, Computers & Electronics, Watches & Jewelry;;
358849;Smartphone: Up t 70% Off | Upto 12 month No Cost EMI | upto Rs. 5000 Additional Discount on Exchange;https://www.tatacliq.com/;0.00;15542;TataCliq [CPS] IN;https://cdn.admitad.com/campaign/images/2019/6/6/15542-60a644468ed87e0e.png;Apple Samsung Vivo;action;Not required;http://ad.admitad.com/coupon/qr304svpyh053e55c51d22654840ad/;https://ad.admitad.com/g/zxt2xp6thl053e55c51d22654840ad/?i=3;2021-02-11 00:00:00;2021-02-15 23:59:00;false;Discount on an order;Computers & Electronics;;5 000 ₹
358850;TVs starting @ Rs469/month* | CLiQsurance extended Warranty starting at Rs.399 | Up to 24 Months No;https://www.tatacliq.com/;0.00;15542;TataCliq [CPS] IN;https://cdn.admitad.com/campaign/images/2019/6/6/15542-60a644468ed87e0e.png;LG, Samsung, TCL;action;Not required;http://ad.admitad.com/coupon/27j3m3n3l2053e55c51d22654840ad/;https://ad.admitad.com/g/l4i01u26oa053e55c51d22654840ad/?i=3;2021-02-11 00:00:00;2021-02-15 23:59:00;false;Discount on an order;Computers & Electronics;;399 ₹
358852;ACS Starting 15990* | | CLiQsurance Extended Warranty Starting 499 | Upto 24 month No Cost EMI;https://www.tatacliq.com/;0.00;15542;TataCliq [CPS] IN;https://cdn.admitad.com/campaign/images/2019/6/6/15542-60a644468ed87e0e.png;Voltas LG Hitachi;action;Not required;http://ad.admitad.com/coupon/w8ntybq2qm053e55c51d22654840ad/;https://ad.admitad.com/g/eq62flzj45053e55c51d22654840ad/?i=3;2021-02-11 00:00:00;2021-02-15 23:59:00;false;Discount on an order;Computers & Electronics;;499 ₹
358853;Kitchen Appliances upto 70% Off | CLiQsurance Extended Warranty Starting 199 | Upto 12 month No Cost;https://www.tatacliq.com/;0.00;15542;TataCliq [CPS] IN;https://cdn.admitad.com/campaign/images/2019/6/6/15542-60a644468ed87e0e.png;Philips IFB Bajaj;action;Not required;http://ad.admitad.com/coupon/2j5qcof6rc053e55c51d22654840ad/;https://ad.admitad.com/g/ay2yr8qddl053e55c51d22654840ad/?i=3;2021-02-11 00:00:00;2021-02-15 23:59:00;false;Discount on an order;Computers & Electronics;;199 ₹
358854;Upto 50% off on Best selling Laptops;https://www.tatacliq.com/;0.00;15542;TataCliq [CPS] IN;https://cdn.admitad.com/campaign/images/2019/6/6/15542-60a644468ed87e0e.png;HP Asus Lenovo;action;Not required;http://ad.admitad.com/coupon/3e6w2ljsv6053e55c51d22654840ad/;https://ad.admitad.com/g/arnhg7hyon053e55c51d22654840ad/?i=3;2021-02-11 00:00:00;2021-02-15 23:59:00;false;Discount on an order;Computers & Electronics;;50%
358856;Washing Machine Up t 50% off | Samsung Whirlpool LG | CLiQsurance Extended Warranty Starting 499 |;https://www.tatacliq.com/;0.00;15542;TataCliq [CPS] IN;https://cdn.admitad.com/campaign/images/2019/6/6/15542-60a644468ed87e0e.png;"Up to 24 months No Cost EMI
Samsung Whirlpool LG";action;Not required;http://ad.admitad.com/coupon/rhp6p5mk7c053e55c51d22654840ad/;https://ad.admitad.com/g/f7qp65alek053e55c51d22654840ad/?i=3;2021-02-11 00:00:00;2021-02-15 23:59:00;false;Discount on an order;Computers & Electronics;;50%
358857;Up to 85% off on Personal Care Appliances;https://www.tatacliq.com/;0.00;15542;TataCliq [CPS] IN;https://cdn.admitad.com/campaign/images/2019/6/6/15542-60a644468ed87e0e.png;Philips Syska Vega;action;Not required;http://ad.admitad.com/coupon/kwxe8ritjv053e55c51d22654840ad/;https://ad.admitad.com/g/9c3c96sec4053e55c51d22654840ad/?i=3;2021-02-11 00:00:00;2021-02-15 23:59:00;false;Discount on an order;Computers & Electronics;;85%
358858;Best Deals on Cameras & Accessories | Upto 70% Off;https://www.tatacliq.com/;0.00;15542;TataCliq [CPS] IN;https://cdn.admitad.com/campaign/images/2019/6/6/15542-60a644468ed87e0e.png;Nikon Canon Go Pro;action;Not required;http://ad.admitad.com/coupon/a47xjw6ne6053e55c51d22654840ad/;https://ad.admitad.com/g/sefp8zhcs8053e55c51d22654840ad/?i=3;2021-02-11 00:00:00;2021-02-15 23:59:00;false;Discount on an order;Computers & Electronics;;63%
358859;Refrigerator Starting 6999* | CLiQsurance Extended Warranty Starting 499 | Upto 24 month No Cost EMI;https://www.tatacliq.com/;0.00;15542;TataCliq [CPS] IN;https://cdn.admitad.com/campaign/images/2019/6/6/15542-60a644468ed87e0e.png;VoltasBeko Whirlpool HItachi;action;Not required;http://ad.admitad.com/coupon/pmwrnkgiaq053e55c51d22654840ad/;https://ad.admitad.com/g/xvnxd7387f053e55c51d22654840ad/?i=3;2021-02-11 00:00:00;2021-02-15 23:59:00;false;Discount on an order;Computers & Electronics;;499 ₹
